Регион,Индекс цен на первичном рынке для всех типов квартир за I квартал,Индекс цен на первичном рынке для низкого качества за I квартал,Индекс цен на первичном рынке для среднего качества (типовые) за I квартал,Индекс цен на первичном рынке для улучшенного качества за I квартал,Индекс цен на первичном рынке для элитного качества за I квартал,Индекс цен на первичном рынке для всех типов квартир за II квартал,Индекс цен на первичном рынке для низкого качества за II квартал,Индекс цен на первичном рынке для среднего качества (типовые) за II квартал,Индекс цен на первичном рынке для улучшенного качества за II квартал,Индекс цен на первичном рынке для элитного качества за II квартал,Индекс цен на первичном рынке для всех типов квартир за IV квартал,Индекс цен на первичном рынке для низкого качества за IV квартал,Индекс цен на первичном рынке для среднего качества (типовые) за IV квартал,Индекс цен на первичном рынке для улучшенного качества за IV квартал,Индекс цен на первичном рынке для элитного качества за IV квартал,Индекс цен на первичном рынке для всех типов квартир за период с начала года
Российская Федерация,106.0,107.2,105.5,103.3,107.0,108.8,105.7,105.7,105.1,103.8,106.3,104.7,105.7,107,104.9,104.5
Центральный федеральный округ,105.8,106.8,107.4,102.7,107.2,108.9,106.9,105.9,104.2,100.9,106.2,104.4,103.6,103.2,103.4,104.1
Белгородская область,104.3,101.6,105.2,103.4,104.4,100.8,105.2,115.8,99.2,100,99,101.2,105.2,100,106.3,119.9
Брянская область,105.4,106.8,101.8,105.9,103.3,103.6,102.6,106.7,104.3,105.5,101.6,100,105.6,107,102.2,100
Владимирская область,104.2,,104.2,,108.4,,108.4,,105.4,,105.4,,105.2,,105.2,
Воронежская область,104.3,106.8,103.8,,104.1,104.3,104,,108.9,115.3,107.5,,103.2,100.4,103.8,
Ивановская область,108.3,,108.3,107.9,107.5,,107.6,104.6,106.3,,106.4,101.3,107.9,,108,100
Калужская область,100.9,100.1,101.6,90.4,101.7,100.2,102.6,94.2,102.3,99.7,103.5,100.7,106.1,110.5,104.3,100
Костромская область,106.8,,106.8,,100.5,,100.5,,103.5,,103.5,,106.2,,106.2,
Курская область,107.9,,108.2,104,103.7,,103.5,105.9,105.3,,105.6,100.9,107.7,,108.2,100
Липецкая область,107.3,104,107.9,,105.4,107.9,105,,104.9,101.6,105.4,,108.6,103.9,109.4,
Московская область,105.2,104,110.3,102.5,104.1,105.1,100.5,100,101.6,99,111.2,100,101.6,101.3,102.7,100
Орловская область,105.7,94.4,105.8,102.1,113.5,95.8,113.7,110,107.1,106,107.3,103.6,102.1,102,102.3,97.1
Рязанская область,106.6,108.8,106.4,100,106.4,108.4,106.3,100,104.7,97.3,105.3,104.2,102.5,95.6,103,100
Смоленская область,103.9,105.5,103.9,104.2,103.2,104,103.4,100,106.1,98.8,106.6,100,103.4,131.7,103.2,101.4
Тамбовская область,98.4,89.5,102.8,100,102.9,106.2,101.6,100,100.9,100.2,101.2,100,104.9,112,101.8,100
Тверская область,105.8,,106.1,100.2,104.0,,103.7,109.7,106.1,,106.2,104.9,112.2,,111.8,119.3
Тульская область,102.5,102.9,102.6,97.3,105.1,101.7,105,137.8,100.8,100,100.7,107.7,100.7,100,101.1,67.9
Ярославская область,103.4,103.9,103.6,100,101.7,99.5,102.8,100,107.8,102.8,110.6,100,103.6,103.9,103.9,100
Город Москва столица Российской Федерации город федерального значения,106.7,112.5,113.3,102.7,110.2,117.8,114.7,106,104.2,100.1,107.2,104.5,103.4,105.2,100.1,104.2
Северо-Западный федеральный округ,108.1,109.8,104.6,108.1,108.3,110.8,103.5,105.7,102.7,101.2,106,103.8,107.8,109.6,104.1,106.5
Республика Карелия,104.1,111,101.7,102.4,100.0,99,100.5,99.9,102.3,103.2,102.6,99.8,107.1,115.2,105.5,100
Республика Коми,107.3,,107.3,,106.5,,106.5,,104.2,,104.2,,104.5,,104.5,
Архангельская область,102.8,,102.7,112.1,106.3,,106.4,99.8,101.2,,101.2,102.5,101.5,,101.5,100
Архангельская область (кроме Ненецкого автономного округа),102.8,,102.7,112.1,106.3,,106.4,99.8,101.2,,101.2,102.5,101.5,,101.5,100
Вологодская область,107.1,107.2,106.9,100,103.3,103.4,102.9,99.2,102.6,101.2,111.4,106,105.1,106.9,94.4,109.3
Калининградская область,111.0,109.5,113.3,100,106.6,101.7,111.7,101.6,103.4,100.3,106.1,105.6,105.6,103.5,107.6,102.6
Ленинградская область,90.4,90.4,,,112.7,112.7,,,99.5,99.5,,,106.7,106.7,,
Новгородская область,102.1,105.1,101.9,,101.6,103.3,101.5,,102.6,103.2,102.6,,102.3,113.5,101.6,
Псковская область,102.2,98.9,106.8,115.2,104.5,105.9,101.8,100,105.2,106.9,101.5,100,103.4,104.3,102.5,100
Город Санкт-Петербург город федерального значения,108.5,110.1,104.6,109.2,109.0,111.4,103.3,107.1,102.7,101.2,106.5,104.6,108.2,109.8,104.1,107.8
Южный федеральный округ,107.0,108.1,106.3,100.5,112.3,116.2,108.8,104.6,112.9,113.9,111.9,113.1,109.2,108.7,110.2,99
Республика Адыгея (Адыгея),113.8,114.8,96.6,,120.1,120.9,101.8,,131.6,132.9,100.5,,103.2,103.3,99.8,
Республика Калмыкия,100.0,100,100,,107.2,143.6,101.4,,103.6,100.9,104.2,,100.3,112.6,97.5,
Республика Крым,102.2,102.2,102,100,108.2,109,105.6,100,111.6,114.1,102.6,100,100.8,100.6,101.8,100
Краснодарский край,109.2,110.6,107.5,101,118.2,121.4,113.9,114.6,115.7,113.4,118.3,138.2,113.1,112.3,114.7,100
Астраханская область,105.6,100.9,106.3,,102.3,99.9,102.7,,107.4,101.2,108.3,,103.6,99.1,104.2,
Волгоградская область,102.7,101.9,103.6,101.8,102.0,102.3,101.7,102.5,105.6,104.1,107.4,102.4,105.5,102.5,107.5,104.9
Ростовская область,105.4,103.8,106.1,99.6,105.2,105.1,105.5,100.2,108.1,107.2,108.5,102.7,107.7,110.3,107.9,95.6
Город федерального значения Севастополь,106.9,106.2,107.4,,104.0,99.1,108,,103.4,108.5,99.6,,102.2,102.2,102.2,
Северо-Кавказский федеральный округ,101.0,101,101.1,100.1,101.4,99,103.1,100.7,101.5,101.5,101.6,101,105.6,102,108.3,101.3
Республика Дагестан,101.8,101.3,102.5,100,105.4,97.5,110.8,100,106.2,111,105.1,100,102.8,105.4,102.1,100
Республика Ингушетия,101.9,102.9,,100,105.3,103.9,,108.1,103.3,103,,103.9,102.6,102.4,,102.9
Кабардино-Балкарская Республика,99.7,99.6,99.4,100,98.7,96,103.4,100,100.8,100.9,100.9,100.6,101.5,101.6,101.3,101.4
Карачаево-Черкесская Республика,106.0,100.3,107,104.9,102.2,101,102.4,99.4,102.0,100,102.2,103.6,100.5,101.2,100.4,100
Республика Северная Осетия-Алания,98.0,102.4,92.8,102.6,100.1,99.2,101.1,100,100.2,100.7,99.5,100,103.4,99.5,108.4,100
Чеченская Республика,100.5,100.1,101,100,102.2,103.6,100.8,100.6,100.3,100.7,99.9,100,99.8,100,99.6,100
Ставропольский край,101.3,100.8,101.7,99.1,100.9,99.2,101.9,100.5,100.8,100,101.1,102.4,107.8,102.3,111,103
Приволжский федеральный округ,103.8,103.7,104,103,104.3,103.1,105.2,103.6,104.7,104.4,104.8,105.3,105.6,105.6,105.7,102.5
Республика Башкортостан,101.5,100.9,102.2,,102.7,102.1,103.4,,105.0,105.7,104.3,,107.2,108.1,106.3,
Республика Марий Эл,101.8,101,102.1,,105.1,107.7,104.2,,106.2,107.8,105.7,,102.6,101.4,103.1,
Республика Мордовия,100.6,101,98.5,108.4,101.6,101.5,100.6,105.9,101.8,100.4,103.7,99,102.5,103,102.7,100
Республика Татарстан (Татарстан),105.6,106.3,105.3,101.7,106.7,105.3,107.6,107.6,106.0,106.4,105.7,109.2,107.1,104.3,108.8,107.4
Удмуртская Республика,102.3,101.9,101.6,105.1,102.4,101.9,102.9,101.7,102.6,100.8,104.6,100.4,103.1,100.7,105.6,100.2
Чувашская Республика - Чувашия,107.2,110.2,104.4,109.3,105.9,103.7,108,106.1,103.2,103.4,102.5,110.3,105.4,105.7,105.5,100.3
Пермский край,103.4,101.5,103.7,102.4,103.9,102.7,104.1,102.4,103.5,102.1,103.8,99.4,103.3,104.6,103.2,100
Кировская область,104.8,102.4,105.9,105.5,105.0,103.7,105.7,100,106.5,105.4,107,102.7,106.3,108.7,105.2,102.9
Нижегородская область,108.2,111.9,108.6,100.7,103.7,93.2,106.9,99.8,104.1,108.2,102.2,111.4,103.9,104.4,104.3,100.5
Оренбургская область,102.8,103.2,100,,100.0,100,100,,106.8,103.7,129.4,,100.1,100,100.8,
Пензенская область,100.4,101.1,100.2,,103.4,104.3,103.1,,102.1,100.2,102.8,,100.6,99.8,100.9,
Самарская область,103.9,104.8,102.7,100.4,101.3,101.3,101.4,100,104.3,101.5,109.6,100,106.6,108.8,103.5,100
Саратовская область,99.4,99.1,100,100.2,105.1,105.8,100.6,109.2,102.9,103.6,100,103,108.4,107.1,113.5,109.3
Ульяновская область,103.7,104.3,102.8,,104.5,104.9,104,,104.0,103.5,104.6,,105.9,104.5,108,
Уральский федеральный округ,104.5,102.6,105.1,103.5,104.5,103.5,104.9,104.4,105.7,105.8,105.6,107.8,103.4,103.3,103,111.8
Курганская область,103.4,104.7,100.8,,99.6,100.2,98.3,,103.4,102.9,104.4,,102.2,101.6,103.4,
Свердловская область,104.8,105.1,104.9,103.7,103.7,100.3,104.4,104.7,108.0,107.9,107.9,108.6,104.8,105.3,103.7,113
Тюменская область,103.8,99,105,100.7,105.4,105.4,105.4,101.6,103.3,100.9,103.8,99.8,101.9,101.3,102,101
Ханты-Мансийский автономный округ - Югра (Тюменская область),100.6,94.9,104,,108.6,114.4,105.5,,101.4,100.1,102.1,,101.9,100,102.9,
Ямало-Ненецкий автономный округ (Тюменская область),105.8,100,107.3,100,94.9,100,93.7,100,100.0,100,100,100,105.4,100,106.7,100
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),104.6,101.8,105.1,101.6,105.0,99.6,105.9,103.7,103.9,101.6,104.3,99.5,101.7,102.3,101.6,102.3
Челябинская область,106.4,105.2,107.4,104.9,104.5,105.1,104,102,108.5,111.5,106.1,105.3,104.9,104.4,105.5,99.8
Сибирский федеральный округ,106.0,106.6,105.7,105.5,105.5,101.9,107.3,103.1,105.4,104.3,106,102.1,103.3,103.2,103.3,103.5
Республика Алтай,103.8,103.8,,,100.0,100,,,100.0,100,,,100.0,100,,
Республика Хакасия,107.7,100,108.4,,102.5,102.5,102.5,,100.4,103.6,100.1,,102.0,102.5,101.9,
Алтайский край,107.9,107.7,108.1,103.7,103.4,105.9,103.2,100.8,108.6,106,109.2,101.6,104.0,104.5,104.1,100.2
Красноярский край,103.8,104.5,103.6,,104.1,102.8,104.5,,107.0,101.2,108.5,,101.9,104.6,101.2,
Иркутская область,106.2,108.8,105.9,,123.6,100.1,126.3,,101.0,99.4,101.2,,102.5,107.1,102.1,
Кемеровская область - Кузбасс,106.3,107,105.1,,102.3,102.3,102.4,,105.8,106.1,105.2,,102.6,103.4,101.4,
Новосибирская область,106.1,106.5,103.8,108.1,101.7,101.4,103.3,103.9,103.2,103.4,102.2,101.8,102.0,101.8,102.8,103.3
Омская область,109.0,107.8,109.9,104.9,103.6,100.6,105.1,106.8,106.9,108.1,106.4,103.7,110.7,106.3,113.3,110.6
Томская область,104.1,100,104.2,,108.5,100,108.6,,105.6,100,105.6,,102.8,100,102.8,
Дальневосточный федеральный округ,104.5,102.8,105.7,100.8,103.4,104.8,102.2,116.8,102.4,101.1,103.4,96,104.4,103.3,105.1,102
Республика Бурятия,113.6,111.8,116.6,,109.6,113.4,103.6,,102.3,100.9,104.7,,109.0,112.6,103,
Республика Саха (Якутия),102.5,101.2,104.2,,102.1,106.6,96.6,,103.1,103.5,102.7,,104.5,102.4,107.5,
Забайкальский край,110.7,,110.7,,100.3,,100.3,,109.3,,109.3,,101.7,,101.7,
Камчатский край,100.1,104.3,99.7,,98.9,100,98.8,,98.1,100,97.9,,139.5,100,143.4,
Приморский край,103.4,103.2,103.7,100.8,102.5,100.9,102.7,116.8,99.6,99.3,100,96,105.0,100.6,108.1,102
Хабаровский край,106.0,94.8,109.5,,105.0,115.2,102.2,,101.1,104,100.2,,102.9,99.9,103.9,
Амурская область,105.1,104.1,106.1,,109.1,108.1,110.1,,101.3,101.7,101,,105.8,107.5,104.1,
Магаданская область,100.0,100,100,,100.0,100,100,,100.1,100.1,100,,110.4,116.8,100,
Сахалинская область,100.6,100.4,100.8,,100.7,99.5,101.5,,105.3,100.8,108.4,,100.2,100.1,100.2,
nan,,квартиры среднего качества (типовые),улучшенного качества,элитные квартиры,,Квартиры среднего качества (типовые),Улучшенного качества,Элитные квартиры,,среднего качества (типовые),улучшенного качества,элитные,,среднего качества (типовые),улучшенного качества,элитные
Российская Федерация,106.0,107.2,105.5,103.3,113.4,116.6,111.5,109.1,119.2,121,118.6,114.2,126.0,129.5,124.3,119.3
Центральный федеральный округ,105.8,106.8,107.4,102.7,113.4,116.2,114.7,108.8,118.2,117.3,121.9,113.6,122.4,121,126,118.3
Белгородская область,104.3,101.6,105.2,103.4,108.9,102.3,110.6,119.8,108.1,102.3,109.5,121.2,113.7,102.3,116.4,145.3
Брянская область,105.4,106.8,101.8,105.9,108.9,110.7,104.5,113,113.6,116.7,106.2,113,119.9,124.9,108.5,113
Владимирская область,104.2,,104.2,,113.0,,113,,119.1,,119.1,,125.2,,125.2,
Воронежская область,104.3,106.8,103.8,,108.6,111.4,108,,118.2,128.4,116.1,,122.0,128.9,120.6,
Ивановская область,108.3,,108.3,107.9,116.5,,116.6,112.9,123.8,,124,114.4,133.5,,133.9,114.4
Калужская область,100.9,100.1,101.6,90.4,102.6,100.3,104.2,85.2,104.9,100,107.9,85.8,111.3,110.6,112.5,85.8
Костромская область,106.8,,106.8,,107.3,,107.3,,111.0,,111,,117.9,,117.9,
Курская область,107.9,,108.2,104,111.8,,112,110,117.8,,118.2,111.1,126.8,,127.8,111.1
Липецкая область,107.3,104,107.9,,113.2,112.2,113.3,,118.7,114,119.4,,128.9,118.4,130.6,
