Регион,Индекс цен на вторичном рынке для всех типов квартир за I квартал,Индекс цен на вторичном рынке для низкого качества за I квартал,Индекс цен на вторичном рынке для среднего качества (типовые) за I квартал,Индекс цен на вторичном рынке для улучшенного качества за I квартал,Индекс цен на вторичном рынке для элитного качества за I квартал,Индекс цен на вторичном рынке для всех типов квартир за II квартал,Индекс цен на вторичном рынке для низкого качества за II квартал,Индекс цен на вторичном рынке для среднего качества (типовые) за II квартал,Индекс цен на вторичном рынке для улучшенного качества за II квартал,Индекс цен на вторичном рынке для элитного качества за II квартал,Индекс цен на вторичном рынке для всех типов квартир за IV квартал,Индекс цен на вторичном рынке для низкого качества за IV квартал,Индекс цен на вторичном рынке для среднего качества (типовые) за IV квартал,Индекс цен на вторичном рынке для улучшенного качества за IV квартал,Индекс цен на вторичном рынке для элитного качества за IV квартал,Индекс цен на вторичном рынке для всех типов квартир за период с начала года,Индекс цен на вторичном рынке для низкого качества за период с начала года,Индекс цен на вторичном рынке для среднего качества (типовые) за период с начала года,Индекс цен на вторичном рынке для улучшенного качества за период с начала года,Индекс цен на вторичном рынке для элитного качества за период с начала года
Российская Федерация,106.51,106.61,105.92,107.32,106.53,101.97,102.56,100.9,102.49,107.54,101.37,97.99,101.39,101.55,102.46,101.58,100.23,101.9,101.45,100.77
Центральный федеральный округ,105.65,112.84,105.94,104.16,108.3,102.66,101.04,101.69,101.63,109.04,100.91,98.57,101.27,100.61,101.52,101.55,102.41,101.6,101.45,101.54
Белгородская область,107.83,,105.91,109.44,,102.14,,100.19,103.73,,93.42,,97.2,90.43,,102.17,,98.67,105.12,
Брянская область,107.4,110.22,105.25,113.63,,100.18,100,99.95,100.96,,101.26,100,102.11,99.07,,101.03,100,100.85,101.93,
Владимирская область,107.3,,101.64,112.55,100,103.14,,106.94,100.08,100,99.76,,96.26,102.77,103,103.5,,104.14,103.04,100
Воронежская область,108.24,114.43,106.17,109.75,104.07,105.67,105.78,105.07,106.61,105.63,100.59,100.11,100.8,100.44,100,110.92,105.72,114,107.91,100
Ивановская область,104.14,100,103.84,104.51,105.1,102.86,96.01,98.44,110.41,100,100.71,105.66,100.64,100.88,100,101.17,151.71,100.38,102.21,100
Калужская область,111.4,99.33,112.71,107.19,,103.98,101.75,104.82,100.24,,101.18,116.64,99.78,106.08,,106.59,99.06,107.98,101.2,
Костромская область,103.02,96.62,105.09,101.43,104,106.4,109.76,106.52,107.03,100,102.29,102.95,101.03,103.61,100,99.05,86.94,99.74,98.07,105.77
Курская область,104.21,,104.93,103.7,105.37,100.88,,100.12,101.25,101.55,98.22,,101.16,96.63,97.53,101.22,,100.98,101.27,102.25
Липецкая область,114.7,,109.61,115.96,120.97,103.98,,105.71,102.74,104.44,100.76,,100.53,101.18,100,99.93,,99.79,100,100
Московская область,116.16,108.24,120.96,106.8,98.78,102.3,99.84,100.55,108.97,100,102.37,100.09,102.72,102.04,102.55,96.52,98.11,95.35,99.27,99.58
Орловская область,118.23,121.26,122.38,116.14,,100.44,100,98.04,101.68,,97.5,98,98.21,97.13,,101.81,90.06,103.8,101.23,
Рязанская область,111.13,115.2,110.83,110.11,112.07,104.22,100.29,109.63,102.85,111.33,99.17,96.87,97.26,100.2,100.49,102.96,103.41,98.41,104.03,104.75
Смоленская область,102.72,,101.56,103.95,,100.13,,100.16,100.11,,102.27,,102.96,101.55,,99.75,,99.45,100.08,
Тамбовская область,107.06,109.6,107.28,105.66,107.2,104.18,100.02,100.43,100.16,107.25,99.78,100,98.96,99.94,100,101.42,100.02,100.11,101.93,101.84
Тверская область,113.73,,109.56,113.26,118.92,99.8,,100.55,99.91,98.92,98.09,,100.92,99.35,94.15,101.79,,101.08,97.23,105.82
Тульская область,104.79,,106.42,103.87,,99.78,,101.14,99,,101.44,,100.65,101.91,,98.66,,99.19,98.35,
Ярославская область,107.16,103.69,111.42,107.3,101.36,104.55,100,104.16,104.85,104.77,100.0,101.1,96.96,100.16,103.63,99.23,107.57,112.12,96.4,93.05
Город Москва столица Российской Федерации город федерального значения,101.65,,100,100,108.11,102.16,,100,100,110.02,102.04,,102.9,101.48,102.03,101.11,,101.46,100.76,101.37
Северо-Западный федеральный округ,103.51,104.85,100.59,107.85,105.88,99.37,100.08,95.33,102.36,114.58,101.01,97.23,100.53,102.45,100.41,99.54,93.86,100.81,99.54,95.18
Республика Карелия,106.56,100,108.64,103.7,100,101.45,100,99.68,104.5,100,101.55,100,101.6,101.23,105.25,100.42,100,100.59,100.48,95.51
Республика Коми,112.56,99.07,107.27,118.04,100.83,103.9,100.26,107.07,102.46,100,103.02,110.92,101.47,103.84,102.68,106.11,101.18,103.72,108.29,100.76
Архангельская область,102.32,100.23,102.75,102.1,100.55,100.61,99.7,100.53,100.88,100.37,101.0,99.54,101.57,100.47,100.05,102.55,100.45,102.26,103.33,101.2
Ненецкий автономный округ (Архангельская область),100.02,,100.02,,,105.22,,105.22,,,105.75,,105.75,,,102.91,,102.91,,
Архангельская область (кроме Ненецкого автономного округа),102.43,100.23,103.01,102.1,100.55,100.38,99.7,100.09,100.88,100.37,100.76,99.54,101.16,100.47,100.05,102.53,100.45,102.2,103.33,101.2
Вологодская область,101.8,,100.55,103.88,,101.86,,103.03,100,,102.74,,102.76,102.7,,102.19,,101.61,103.13,
Калининградская область,108.91,104.28,107.63,108.85,114.05,115.42,100.27,115.43,119.92,116.4,97.26,98.36,88.8,95.57,117.87,100.32,98.09,102.53,99.01,98.4
Ленинградская область,102.82,100,105.14,100,100,102.34,100,101.43,104.23,100.88,101.78,105.54,101.18,102.1,101.9,99.78,99.9,99.68,99.9,99.9
Мурманская область,109.44,,107.04,113.89,,97.38,,95.84,100.03,,99.35,,98.45,100.85,,100.87,,104.51,94.96,
Новгородская область,107.62,109.41,104.63,111.13,,98.2,96.08,103.44,92.3,,104.24,101.8,95.91,115.5,,105.51,97.58,110.39,101.05,
Псковская область,104.56,116.46,105.58,100.61,,110.57,100,113.94,103.62,,101.82,106.75,101.36,102.4,,99.2,107.35,97.37,103.02,
Город Санкт-Петербург город федерального значения,100.48,105.64,96.16,106.54,105.09,96.56,100.16,89.69,101.47,116.18,101.23,96.05,101.84,103.45,96.47,97.43,91.81,99.27,97.05,93.89
Южный федеральный округ,106.33,105.15,104.47,108.73,106.2,102.67,98.2,102.65,103.24,105.1,100.18,99.12,99.57,100.9,101.62,101.94,101.19,101.82,102.21,101.68
Республика Адыгея (Адыгея),101.76,104.48,101.23,100.89,,99.55,99.83,99.38,99.55,,93.54,92.66,97.3,90.71,,101.39,99.88,104.54,99.25,
Республика Калмыкия,102.75,100,100.18,112.99,,99.93,100,99.42,101.71,,99.87,100,99.82,100,,104.41,100,105.76,100,
Республика Крым,102.5,100,102.92,100,101.31,101.46,100,100.83,106.17,100,100.07,100,100.1,99.87,100,104.76,100,105.65,100,100
Краснодарский край,110.59,100,96.34,125.01,,93.72,95.11,94.64,92.9,,97.34,100,91.53,100.83,,105.3,100,101.02,108.8,
Астраханская область,103.4,102.37,104.5,100,100,107.97,100,110.41,102.21,100,98.2,100,97.53,100.16,100.51,97.15,100,95.98,101.08,100
